City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Port Hawkesbury,CA,45.6169,-61.3485,35.01,75,1,16.11,clear sky
207,Lipno,PL,52.8444,19.1785,37.0,77,12,1.99,few clouds
208,Moussoro,TD,13.6408,16.4901,83.55,15,33,7.9,scattered clouds
209,Charlestown,AU,-32.95,151.6667,71.01,41,0,3.2,clear sky
210,Nome,US,64.5011,-165.4064,44.6,49,1,4.61,clear sky
211,Sochaczew,PL,52.2294,20.2384,37.0,99,7,9.8,clear sky
212,Bo Phloi,TH,14.3236,99.5161,98.01,37,100,8.66,overcast clouds
213,Bud,US,39.447,-86.1758,41.0,66,11,6.89,few clouds
214,Iqaluit,CA,63.7506,-68.5145,21.2,86,90,4.63,overcast clouds
215,Pangnirtung,CA,66.1451,-65.7125,20.37,79,90,6.22,overcast clouds
216,Nizhniy Kuranakh,RU,58.8353,125.4869,32.05,79,85,15.82,overcast clouds
217,Kamenka,RU,51.3223,42.7678,50.29,74,100,6.17,overcast clouds
218,Thinadhoo,MV,0.5333,72.9333,83.25,61,17,8.3,few clouds
219,Cabo San Lucas,MX,22.8909,-109.9124,77.0,31,40,15.05,scattered clouds
220,San Andrés,CO,12.5847,-81.7006,80.6,78,20,12.66,few clouds
221,Atlanta,US,33.749,-84.388,54.0,66,1,3.44,clear sky
222,Tadine,NC,-21.55,167.8833,78.42,76,100,7.81,overcast clouds
223,Ahome,MX,25.9167,-109.1833,73.4,46,90,5.46,overcast clouds
224,Krabi,TH,8.0726,98.9105,89.6,70,75,6.91,light rain
225,Qaanaaq,GL,77.484,-69.3632,18.77,91,100,9.6,overcast clouds
226,Bitkine,TD,11.9801,18.2138,87.33,28,53,5.73,broken clouds
227,Palmer,US,42.1584,-72.3287,37.4,44,20,17.27,few clouds
228,Makat,KZ,47.6469,53.3463,55.78,38,100,15.46,overcast clouds
229,Dunedin,NZ,-45.8742,170.5036,61.0,61,100,1.01,overcast clouds
230,Hobyo,SO,5.3505,48.5268,84.29,66,100,9.48,overcast clouds
231,Los Llanos de Aridane,ES,28.6585,-17.9182,64.4,77,0,4.61,clear sky
232,Westport,US,41.1415,-73.3579,41.0,48,20,11.5,few clouds
233,Voh,NC,-20.9667,164.7,81.37,72,100,6.62,overcast clouds
234,Evensk,RU,61.95,159.2333,30.11,96,100,3.8,light snow
235,Gilbués,BR,-9.8317,-45.3439,73.18,82,100,1.14,overcast clouds
236,Clyde River,CA,70.4692,-68.5914,14.0,79,75,8.05,broken clouds
237,Pirgos,GR,35.1167,25.7178,59.0,87,0,8.05,clear sky
238,Torbay,CA,47.6666,-52.7314,43.0,100,90,6.91,light rain
239,Namatanai,PG,-3.6667,152.4333,78.91,86,83,6.33,moderate rain
240,Chui,UY,-33.6971,-53.4616,65.41,80,99,11.34,overcast clouds
241,Buta,CD,2.7858,24.73,68.81,99,100,1.19,overcast clouds
242,Nouadhibou,MR,20.931,-17.0347,62.6,94,0,16.11,clear sky
243,Qiongshan,CN,20.0058,110.3542,87.8,66,40,4.47,scattered clouds
244,Beringovskiy,RU,63.05,179.3167,28.92,74,83,9.17,broken clouds
245,Haines Junction,CA,60.7522,-137.5108,50.0,27,0,5.75,clear sky
246,Sonoita,MX,31.85,-112.8333,68.0,34,0,1.01,clear sky
247,Bondo,CD,3.8146,23.6866,67.91,98,97,1.99,light rain
248,Erdenet,MN,49.0333,104.0833,23.95,88,100,7.4,snow
249,Bridlington,GB,54.0831,-0.1919,42.01,52,87,3.0,overcast clouds
250,São Filipe,CV,14.8961,-24.4956,71.24,74,45,15.3,scattered clouds
251,Winfield,US,37.2398,-96.9956,48.99,76,90,8.05,overcast clouds
252,Ostrovnoy,RU,68.0531,39.5131,34.32,96,97,11.59,overcast clouds
253,Rawson,AR,-43.3002,-65.1023,56.3,65,6,5.86,clear sky
254,Morón,AR,-34.6534,-58.6198,71.01,86,95,1.99,overcast clouds
255,Geraldton,AU,-28.7667,114.6,84.2,21,100,1.14,overcast clouds
256,Kavaratti,IN,10.5669,72.642,83.73,67,15,4.14,few clouds
257,Hanmer Springs,NZ,-42.5167,172.8167,57.79,67,100,7.99,overcast clouds
258,Chokurdakh,RU,70.6333,147.9167,8.67,88,72,3.51,broken clouds
259,Bhatkal,IN,13.9667,74.5667,85.69,71,40,2.33,scattered clouds
260,Greenwood,US,34.1668,-82.1165,39.99,83,5,5.19,clear sky
